industry,avg_wage,monthly_rent_allowance,year,zipcode,neighborhood,med_rent,bedrooms,affordable
Crop production,27115.0,753.1944444444445,2011,98103,Wallingford,1328.4647302904564,1,False
Crop production,27115.0,753.1944444444445,2011,98115,Wedgewood,1202.778454047474,1,False
Crop production,27115.0,753.1944444444445,2011,98133,North Park,875.0030966767371,1,False
Crop production,27115.0,753.1944444444445,2011,98122,Capitol Hill/Madrona,1192.5,1,False
Crop production,27115.0,753.1944444444445,2011,98125,Lake City,765.9306273632225,1,False
Crop production,27115.0,753.1944444444445,2011,98109,Westlake,1337.0,1,False
Crop production,27115.0,753.1944444444445,2011,98105,University District,985.426497277677,1,False
Crop production,27115.0,753.1944444444445,2011,98118,Rainier Valley,994.9065420560747,1,False
Crop production,27115.0,753.1944444444445,2011,98102,Captiol Hill,1448.5233160621763,1,False
Crop production,27115.0,753.1944444444445,2011,98107,Ballard,1853.9955346760314,1,False
Crop production,27115.0,753.1944444444445,2011,98117,Crown Hill,934.0480771026729,1,False
Crop production,27115.0,753.1944444444445,2011,98121,BellTown,1515.0,1,False
Crop production,27115.0,753.1944444444445,2011,98116,West Seattle/Alki,1130.753493862134,1,False
Crop production,27115.0,753.1944444444445,2011,98112,Montlake,1172.914201183432,1,False
Crop production,27115.0,753.1944444444445,2011,98101,Downtown,1817.176761433869,1,False
Crop production,27115.0,753.1944444444445,2011,98126,West Seattle,923.9069527193222,1,False
Crop production,27115.0,753.1944444444445,2011,98104,Pioneer Square,1141.8371607515658,1,False
Crop production,27115.0,753.1944444444445,2011,98106,Highland Park,642.384455349473,1,True
Crop production,27115.0,753.1944444444445,2011,98108,Georgetown/Beacon Hill,824.5614035087718,1,False
Crop production,27115.0,753.1944444444445,2011,98119,Queen Anne,1491.698113207547,1,False
Crop production,27115.0,753.1944444444445,2011,98136,Fauntleroy,1207.7522089985675,1,False
Crop production,27115.0,753.1944444444445,2011,98144,Mt. Baker,890.7463398702314,1,False
Crop production,27115.0,753.1944444444445,2011,98177,Richmond Beach,895.5753424511013,1,False
Crop production,27115.0,753.1944444444445,2011,98199,Magnolia,1276.414298354934,1,False
Animal production,30803.0,855.6388888888887,2011,98103,Wallingford,1328.4647302904564,1,False
Animal production,30803.0,855.6388888888887,2011,98115,Wedgewood,1202.778454047474,1,False
Animal production,30803.0,855.6388888888887,2011,98133,North Park,875.0030966767371,1,False
Animal production,30803.0,855.6388888888887,2011,98122,Capitol Hill/Madrona,1192.5,1,False
Animal production,30803.0,855.6388888888887,2011,98125,Lake City,765.9306273632225,1,True
Animal production,30803.0,855.6388888888887,2011,98109,Westlake,1337.0,1,False
Animal production,30803.0,855.6388888888887,2011,98105,University District,985.426497277677,1,False
Animal production,30803.0,855.6388888888887,2011,98118,Rainier Valley,994.9065420560747,1,False
Animal production,30803.0,855.6388888888887,2011,98102,Captiol Hill,1448.5233160621763,1,False
Animal production,30803.0,855.6388888888887,2011,98107,Ballard,1853.9955346760314,1,False
Animal production,30803.0,855.6388888888887,2011,98117,Crown Hill,934.0480771026729,1,False
Animal production,30803.0,855.6388888888887,2011,98121,BellTown,1515.0,1,False
Animal production,30803.0,855.6388888888887,2011,98116,West Seattle/Alki,1130.753493862134,1,False
Animal production,30803.0,855.6388888888887,2011,98112,Montlake,1172.914201183432,1,False
Animal production,30803.0,855.6388888888887,2011,98101,Downtown,1817.176761433869,1,False
Animal production,30803.0,855.6388888888887,2011,98126,West Seattle,923.9069527193222,1,False
Animal production,30803.0,855.6388888888887,2011,98104,Pioneer Square,1141.8371607515658,1,False
Animal production,30803.0,855.6388888888887,2011,98106,Highland Park,642.384455349473,1,True
Animal production,30803.0,855.6388888888887,2011,98108,Georgetown/Beacon Hill,824.5614035087718,1,True
Animal production,30803.0,855.6388888888887,2011,98119,Queen Anne,1491.698113207547,1,False
Animal production,30803.0,855.6388888888887,2011,98136,Fauntleroy,1207.7522089985675,1,False
Animal production,30803.0,855.6388888888887,2011,98144,Mt. Baker,890.7463398702314,1,False
Animal production,30803.0,855.6388888888887,2011,98177,Richmond Beach,895.5753424511013,1,False
Animal production,30803.0,855.6388888888887,2011,98199,Magnolia,1276.414298354934,1,False
Forestry and logging,183894.0,5108.166666666667,2011,98103,Wallingford,1328.4647302904564,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98115,Wedgewood,1202.778454047474,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98133,North Park,875.0030966767371,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98122,Capitol Hill/Madrona,1192.5,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98125,Lake City,765.9306273632225,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98109,Westlake,1337.0,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98105,University District,985.426497277677,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98118,Rainier Valley,994.9065420560747,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98102,Captiol Hill,1448.5233160621763,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98107,Ballard,1853.9955346760314,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98117,Crown Hill,934.0480771026729,1,True
Forestry and logging,183894.0,5108.166666666667,2011,98121,BellTown,1515.0,1,True
