"Seattle-Bellevue-Everett, WA MD",,,,,,,
2013 Occupational employment,,,,,,,
and wage estimates,,,,,,,
includes King and Snohomish counties,,,,,,,
,To index,,,,,,
,,,,,,,
SOC,,Estimated,Average,,Percentiles,,Annual
code,Occupational title,employment,wage,25th,50th,75th,wage
,,,,,,,
13-2011,Accountants & Auditors,"14,004",$35.16,$26.31,$32.78,$41.64,"$73,135"
27-2011,Actors,303,$23.86,$11.36,$17.89,$28.83,
15-2011,Actuaries,381,$45.92,$33.57,$42.39,$54.89,"$95,500"
23-1021,"Admin Law Judges, Adjudicators, & Hearing Officers",155,$47.00,$38.66,$42.68,$51.96,"$97,758"
11-3011,Administrative Svcs Mgrs,"3,199",$51.12,$37.00,$47.06,$62.16,"$106,329"
25-3011,"Adult Literacy, Remedial Ed, GED Teachers/Inst","1,375",$24.30,$20.01,$24.40,$29.08,"$50,534"
11-2011,Advertising & Promotions Mgrs,454,$54.59,$39.04,$52.52,$67.36,"$113,529"
41-3011,Advertising Sales Agents,"1,841",$32.62,$17.63,$26.16,$41.54,"$67,852"
17-3021,Aerospace Engineering & Operations Technicians,617,$32.78,$24.63,$32.83,$39.65,"$68,195"
17-2011,Aerospace Engineers,"7,656",$49.67,$40.92,$48.81,$57.94,"$103,312"
19-4011,Agricultural & Food Science Technicians,48,$19.42,$13.99,$19.70,$25.11,"$40,404"
45-2011,Agricultural Inspectors,44,$24.22,$20.10,$23.86,$28.67,"$50,372"
45-2099,"Agricultural Wkrs, All Other",,$23.73,$23.03,$25.27,$27.51,"$49,359"
53-1011,Aircraft Cargo Handling Supervisors,129,$24.36,$16.90,$18.80,$33.69,"$50,661"
49-3011,Aircraft Mechanics & Svc Technicians,"4,479",$28.37,$21.31,$27.59,$35.37,"$58,995"
51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,"12,370",,,,,
53-2011,"Airline Pilots, Copilots, & Flight Engineers",985,,,,,"$144,052"
39-3091,Amusement & Recreation Attendants,"2,990",$11.74,$9.37,$10.45,$12.71,"$24,430"
33-9011,Animal Control Wkrs,75,$25.34,$18.72,$26.23,$29.42,"$52,710"
39-2011,Animal Trainers,,$18.20,$14.47,$20.01,$21.77,"$37,845"
19-3091,Anthropologists & Archeologists,93,$28.93,$22.34,$27.32,$34.83,"$60,174"
25-1061,"Anthropology & Archeology Teachers, Postsecondary",74,,,,,"$71,144"
13-2021,Appraisers & Assessors of Real Estate,502,$33.98,$23.78,$33.56,$42.82,"$70,673"
23-1022,"Arbitrators, Mediators, & Conciliators",65,$35.37,$27.50,$32.32,$37.45,"$73,570"
17-1011,"Architects, Not Landscape & Naval","2,467",$33.88,$24.73,$31.51,$39.51,"$70,462"
17-3011,Architectural & Civil Drafters,795,$29.70,$24.86,$29.42,$34.89,"$61,767"
25-4011,Archivists,170,$29.18,$21.03,$25.76,$37.67,"$60,706"
25-1062,"Area, Ethnic, & Cultural Studies Teachers, Postsec",97,,,,,"$73,942"
27-1011,Art Directors,633,$49.35,$38.05,$45.75,$57.45,"$102,662"
25-1121,"Art, Drama, & Music Teachers, Postsecondary",709,,,,,"$64,715"
27-1019,"Artists & Related Wkrs, All Other",31,$23.97,$17.36,$21.18,$29.03,"$49,867"
51-2099,"Assemblers & Fabricators, All Other","4,313",$15.80,$12.52,$14.82,$18.12,"$32,858"
27-2021,Athletes & Sports Competitors,268,,,,,"$112,088"
29-9091,Athletic Trainers,184,,,,,"$47,847"
19-2021,Atmospheric & Space Scientists,171,$45.08,$32.04,$42.28,$56.32,"$93,764"
25-1051,"Atmospheric/Earth/Marine/Space Sci Teachers, Postsec",181,,,,,"$98,424"
27-4011,Audio & Video Equipment Technicians,663,$23.19,$16.23,$22.18,$29.11,"$48,233"
29-1181,Audiologists,141,$48.28,$35.50,$41.94,$63.91,"$100,416"
25-9011,Audio-Visual Collections Specialists,39,$19.52,$16.76,$18.56,$21.55,"$40,615"
49-3021,Automotive Body & Related Repairers,794,$22.81,$17.29,$21.86,$28.05,"$47,436"
49-3022,Automotive Glass Installers & Repairers,,$18.55,$13.53,$17.01,$22.02,"$38,598"
49-3023,Automotive Svc Technicians & Mechanics,"4,284",$21.65,$15.42,$20.89,$27.06,"$45,038"
49-2091,Avionics Technicians,"1,175",$30.73,$25.72,$29.99,$36.18,"$63,911"
39-6011,Baggage Porters & Bellhops,"1,073",$10.67,$9.30,$9.46,$10.66,"$22,196"
33-3011,Bailiffs,33,$26.01,$22.75,$25.97,$29.19,"$54,094"
51-3011,Bakers,"1,952",$14.32,$10.79,$13.74,$17.50,"$29,776"
35-3011,Bartenders,"7,611",$13.95,$9.56,$12.58,$16.13,"$29,011"
49-3091,Bicycle Repairers,,$13.37,$10.75,$12.37,$15.04,"$27,809"
43-3011,Bill & Account Collectors,"2,394",$17.87,$14.39,$17.64,$21.27,"$37,168"
43-3021,Billing & Posting Clerks & Machine Operators,"5,160",$20.31,$17.19,$20.06,$22.88,"$42,245"
19-1021,Biochemists & Biophysicists,197,$41.41,$23.86,$38.84,$55.42,"$86,131"
25-1042,"Biological Science Teachers, Postsecondary",551,,,,,"$94,324"
19-1029,"Biological Scientists, All Other",807,$34.79,$24.67,$33.55,$42.85,"$72,353"
19-4021,Biological Technicians,"1,984",$21.73,$17.22,$21.06,$25.82,"$45,198"
17-2031,Biomedical Engineers,236,$41.03,$25.59,$33.85,$51.96,"$85,349"
47-2011,Boilermakers,70,$24.63,$21.86,$25.15,$27.57,"$51,235"
43-3031,"Bookkeeping, Accounting, & Auditing Clerks","17,591",$20.53,$16.19,$19.86,$24.13,"$42,691"
47-3011,Brick/Block/Stonemason & Tile/Marble Setter Helpers,147,$23.34,$15.57,$21.30,$32.57,"$48,547"
47-2021,Brickmasons & Blockmasons,243,$33.09,$27.93,$32.42,$36.00,"$68,826"
53-6011,Bridge & Lock Tenders,63,$24.53,$18.08,$25.37,$28.10,"$51,016"
27-4012,Broadcast Technicians,362,$17.58,$12.39,$14.61,$21.75,"$36,562"
43-4011,Brokerage Clerks,408,$21.80,$16.86,$21.25,$26.29,"$45,361"
37-2019,"Building Cleaning Wkrs, All Other",,$11.46,$10.12,$10.75,$11.38,"$23,840"
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,"2,598",$27.85,$24.16,$27.98,$32.78,"$57,923"
53-3022,"Bus Drivers, School","3,442",$18.52,$16.38,$19.02,$21.44,"$38,523"
53-3021,"Bus Drivers, Transit & Intercity","4,312",$24.52,$22.67,$25.75,$28.00,"$51,007"
13-1199,"Business Operations Specialists, All Other","15,518",$36.26,$25.48,$34.54,$45.21,"$75,409"
25-1011,"Business Teachers, Postsecondary",619,,,,,"$92,238"
51-3021,Butchers & Meat Cutters,"1,182",$18.74,$16.53,$20.18,$22.06,"$38,992"
51-7011,Cabinetmakers & Bench Carpenters,611,$20.33,$16.12,$19.70,$24.91,"$42,273"
27-4031,"Camera Ops, Television, Video, & Motion Picture",405,$24.64,$18.18,$22.00,$32.62,"$51,259"
53-5021,"Captains, Mates, & Pilots of Water Vessels","1,388",$36.23,$28.41,$35.30,$44.54,"$75,355"
29-2031,Cardiovascular Technologists & Technicians,575,$32.44,$25.30,$32.81,$39.64,"$67,478"
43-5011,Cargo & Freight Agents,"1,102",$25.51,$16.52,$22.38,$35.14,"$53,067"
47-3012,Carpenter Helpers,115,$19.32,$13.84,$19.03,$22.48,"$40,185"
47-2031,Carpenters,"7,163",$26.85,$20.92,$26.95,$32.87,"$55,848"
47-2041,Carpet Installers,272,$21.43,$15.37,$18.74,$30.23,"$44,567"
17-1021,Cartographers & Photogrammetrists,165,$37.24,$30.92,$38.48,$43.99,"$77,456"
41-2011,Cashiers,"26,112",$13.55,$10.01,$11.78,$15.80,"$28,164"
47-2051,Cement Masons & Concrete Finishers,647,$24.44,$13.27,$26.86,$33.18,"$50,833"
51-9191,Cementing & Gluing Machine Operators & Tenders,241,$21.51,$14.41,$18.19,$31.77,"$44,748"
35-1011,Chefs & Head Cooks,"1,405",$22.68,$18.49,$21.56,$26.84,"$47,184"
17-2041,Chemical Engineers,125,$40.01,$29.70,$38.02,$50.26,"$83,210"
51-9011,Chemical Equipment Operators & Tenders,56,$20.06,$16.89,$18.89,$23.37,"$41,723"
51-8091,Chemical Plant & System Operators,,$26.22,$22.18,$26.07,$30.63,"$54,546"
19-4031,Chemical Technicians,401,$19.90,$15.87,$19.14,$23.04,"$41,382"
25-1052,"Chemistry Teachers, Postsecondary",189,,,,,"$84,819"
19-2031,Chemists,733,$33.88,$22.80,$33.35,$43.52,"$70,454"
11-1011,Chief Executives,"1,770",$105.25,$78.58,$91.24,$91.76,"$218,923"
39-9011,Child Care Wkrs,"4,623",$11.59,$9.70,$10.87,$12.43,"$24,096"
21-1021,"Child, Family, & School Social Wkrs","1,931",$22.69,$18.25,$24.16,$26.07,"$47,181"
29-1011,Chiropractors,394,,,,,
17-3022,Civil Engineering Technicians,754,$28.36,$24.17,$27.37,$33.23,"$58,983"
17-2051,Civil Engineers,"5,911",$42.11,$33.35,$40.99,$49.17,"$87,592"
13-1031,"Claims Adjusters, Examiners, & Investigators","3,755",$31.99,$25.86,$30.75,$36.85,"$66,535"
53-7061,Cleaners of Vehicles & Equipment,"2,738",$13.55,$10.62,$12.24,$14.91,"$28,180"
51-9192,Cleaning/Washing/Metal Pickling Equipment Ops/Tenders,186,$19.66,$12.88,$16.66,$27.36,"$40,885"
21-2011,Clergy,208,$26.47,$17.62,$26.87,$33.17,"$55,059"
19-3031,"Clinical, Counseling, & School Psychologists",654,$38.52,$28.70,$34.94,$43.60,"$80,118"
27-2022,Coaches & Scouts,"3,313",,,,,"$43,751"
51-9121,Coating/Painting/Spraying Machine Setters/Ops/Tenders,843,$15.89,$12.92,$15.52,$18.09,"$33,050"
49-9091,"Coin, Vending, & Amusement Machine Svcrs & Repairers",340,$18.47,$14.18,$18.63,$22.48,"$38,424"
35-3021,"Comb Food Preparation & Serving Wkrs, Inc Fast Food","25,935",$10.91,$9.32,$9.61,$11.52,"$22,687"
27-1021,Commercial & Industrial Designers,298,$29.31,$21.17,$31.60,$36.33,"$60,972"
49-9092,Commercial Divers,115,,,,,
53-2012,Commercial Pilots,400,,,,,"$96,252"
25-1122,"Communications Teachers, Postsecondary",224,,,,,"$63,055"
